,2,5,10,25,50,100
51,63.0,78.0,91.0,110.0,125.0,142.0
51,84.0,108.0,129.0,159.0,185.0,213.0
51,56.0,68.0,78.0,92.0,103.0,115.0
51,77.0,99.0,117.0,145.0,168.0,193.0
51,62.0,78.0,91.0,111.0,128.0,146.0
51,78.0,100.0,119.0,147.0,172.0,199.0
51,59.0,72.0,82.0,96.0,107.0,118.0
51,61.0,77.0,90.0,108.0,123.0,139.0
51,77.0,99.0,117.0,143.0,165.0,189.0
51,82.0,104.0,123.0,150.0,173.0,197.0
51,56.0,68.0,79.0,90.0,98.0,106.0
51,68.0,84.0,96.0,114.0,128.0,143.0
51,79.0,101.0,119.0,146.0,168.0,193.0
51,74.0,95.0,113.0,140.0,164.0,191.0
51,80.0,100.0,117.0,142.0,163.0,184.0
51,62.0,77.0,89.0,106.0,121.0,136.0
51,61.0,74.0,85.0,101.0,114.0,128.0
51,84.0,108.0,128.0,157.0,182.0,208.0
51,62.0,75.0,85.0,99.0,111.0,123.0
51,82.0,106.0,125.0,154.0,179.0,205.0
51,59.0,72.0,83.0,98.0,110.0,123.0
51,68.0,84.0,98.0,118.0,134.0,151.0
51,66.0,82.0,95.0,116.0,134.0,154.0
51,61.0,74.0,85.0,99.0,110.0,122.0
51,77.0,100.0,119.0,149.0,174.0,202.0
51,76.0,98.0,117.0,145.0,170.0,197.0
51,73.0,94.0,112.0,140.0,163.0,189.0
51,75.0,97.0,116.0,143.0,166.0,192.0
51,76.0,98.0,116.0,144.0,168.0,194.0
51,62.0,77.0,90.0,110.0,128.0,149.0
51,71.0,90.0,106.0,130.0,150.0,172.0
51,76.0,98.0,118.0,146.0,171.0,198.0
51,56.0,69.0,79.0,93.0,105.0,116.0
51,71.0,89.0,106.0,129.0,150.0,173.0
51,72.0,87.0,99.0,117.0,131.0,145.0
51,75.0,94.0,110.0,132.0,152.0,173.0
51,61.0,74.0,84.0,99.0,110.0,122.0
51,68.0,86.0,101.0,122.0,139.0,157.0
51,63.0,76.0,86.0,101.0,113.0,125.0
51,46.0,57.0,66.0,76.0,84.0,91.0
51,63.0,76.0,86.0,101.0,113.0,125.0
51,72.0,92.0,109.0,134.0,155.0,179.0
51,76.0,97.0,115.0,140.0,162.0,185.0
51,76.0,97.0,114.0,140.0,161.0,183.0
51,65.0,80.0,94.0,114.0,133.0,155.0
51,65.0,80.0,92.0,110.0,125.0,142.0
51,78.0,100.0,118.0,143.0,165.0,188.0
51,51.0,64.0,74.0,85.0,94.0,101.0
51,80.0,102.0,120.0,146.0,168.0,192.0
51,68.0,87.0,103.0,128.0,150.0,174.0
51,68.0,87.0,104.0,129.0,151.0,175.0
51,60.0,73.0,83.0,97.0,108.0,120.0
51,58.0,71.0,81.0,95.0,107.0,119.0
51,82.0,104.0,123.0,150.0,172.0,196.0
51,62.0,75.0,85.0,100.0,112.0,124.0
51,78.0,101.0,121.0,150.0,175.0,203.0
51,59.0,72.0,82.0,95.0,106.0,118.0
51,59.0,71.0,82.0,97.0,109.0,121.0
51,76.0,97.0,114.0,138.0,158.0,180.0
51,77.0,99.0,116.0,142.0,164.0,187.0
51,57.0,70.0,80.0,95.0,107.0,119.0
51,59.0,71.0,80.0,92.0,102.0,112.0
51,77.0,100.0,119.0,148.0,172.0,199.0
51,66.0,81.0,95.0,114.0,129.0,147.0
51,55.0,68.0,80.0,97.0,112.0,128.0
51,63.0,76.0,86.0,101.0,113.0,125.0
51,77.0,100.0,119.0,147.0,172.0,199.0
51,60.0,72.0,82.0,96.0,107.0,119.0
51,75.0,93.0,109.0,133.0,155.0,181.0
51,61.0,74.0,84.0,97.0,108.0,119.0
51,72.0,92.0,110.0,136.0,159.0,184.0
51,51.0,63.0,72.0,82.0,90.0,97.0
51,75.0,94.0,110.0,132.0,150.0,169.0
51,65.0,83.0,97.0,117.0,134.0,151.0
51,66.0,82.0,95.0,116.0,135.0,158.0
51,63.0,77.0,90.0,108.0,122.0,138.0
51,84.0,105.0,123.0,148.0,169.0,192.0
51,66.0,85.0,101.0,121.0,135.0,149.0
51,85.0,108.0,128.0,155.0,178.0,203.0
51,74.0,95.0,112.0,137.0,158.0,181.0
51,78.0,100.0,119.0,147.0,170.0,196.0
51,76.0,99.0,117.0,138.0,153.0,166.0
51,84.0,108.0,128.0,158.0,183.0,210.0
51,63.0,76.0,87.0,101.0,113.0,125.0
51,84.0,108.0,128.0,158.0,183.0,209.0
51,75.0,93.0,108.0,131.0,150.0,171.0
51,76.0,99.0,118.0,146.0,171.0,197.0
51,66.0,82.0,96.0,117.0,136.0,159.0
51,74.0,96.0,115.0,143.0,167.0,194.0
51,67.0,82.0,94.0,111.0,125.0,140.0
51,75.0,96.0,113.0,138.0,159.0,182.0
51,80.0,104.0,125.0,155.0,181.0,210.0
51,57.0,69.0,79.0,94.0,105.0,117.0
51,54.0,66.0,76.0,86.0,94.0,101.0
51,50.0,63.0,73.0,84.0,93.0,100.0
51,45.0,56.0,65.0,74.0,82.0,88.0
51,63.0,82.0,98.0,117.0,130.0,144.0
51,77.0,98.0,116.0,142.0,165.0,189.0
51,53.0,67.0,78.0,90.0,99.0,107.0
51,66.0,83.0,97.0,117.0,134.0,151.0
51,97.0,124.0,146.0,178.0,205.0,234.0
51,58.0,72.0,84.0,103.0,119.0,136.0
51,66.0,81.0,95.0,116.0,134.0,156.0
51,79.0,101.0,119.0,146.0,168.0,191.0
51,77.0,98.0,114.0,138.0,158.0,180.0
51,68.0,84.0,98.0,119.0,138.0,161.0
51,79.0,101.0,119.0,145.0,167.0,191.0
51,60.0,73.0,83.0,98.0,109.0,121.0
51,68.0,82.0,93.0,109.0,121.0,134.0
51,83.0,108.0,128.0,159.0,184.0,212.0
51,84.0,109.0,129.0,159.0,184.0,211.0
51,57.0,69.0,80.0,97.0,112.0,129.0
51,76.0,96.0,114.0,139.0,160.0,183.0
51,61.0,74.0,84.0,99.0,111.0,123.0
51,77.0,98.0,116.0,141.0,163.0,186.0
51,79.0,102.0,120.0,147.0,170.0,194.0
51,73.0,94.0,112.0,139.0,163.0,189.0
51,68.0,87.0,104.0,129.0,151.0,175.0
51,56.0,70.0,82.0,99.0,112.0,127.0
51,62.0,75.0,85.0,100.0,111.0,123.0
51,74.0,97.0,115.0,143.0,168.0,195.0
51,55.0,70.0,81.0,98.0,112.0,126.0
51,59.0,71.0,81.0,94.0,105.0,116.0
51,62.0,75.0,86.0,101.0,113.0,125.0
51,76.0,97.0,114.0,139.0,160.0,182.0
51,70.0,92.0,110.0,132.0,148.0,164.0
51,77.0,99.0,117.0,143.0,165.0,189.0
51,61.0,73.0,84.0,98.0,109.0,121.0
51,62.0,74.0,85.0,99.0,111.0,123.0
51,73.0,93.0,109.0,131.0,150.0,170.0
51,69.0,87.0,102.0,123.0,140.0,159.0
51,61.0,77.0,90.0,109.0,124.0,141.0
51,61.0,73.0,84.0,99.0,110.0,122.0
51,74.0,96.0,114.0,141.0,164.0,190.0
51,70.0,89.0,104.0,126.0,144.0,163.0
51,55.0,70.0,82.0,95.0,105.0,114.0
51,46.0,59.0,70.0,83.0,93.0,103.0
51,79.0,98.0,114.0,139.0,162.0,189.0
51,65.0,78.0,89.0,103.0,114.0,125.0
51,65.0,81.0,94.0,114.0,130.0,147.0
