,0,1,2,3,4,5
0,97.11,127.44,153.4,192.34,228.48,268.8
1,91.96,113.05,129.87,158.7,183.05999999999997,213.92000000000002
2,111.86,141.6,167.56,205.32,238.35999999999999,270.28
3,90.05999999999999,114.13,136.73,171.76,204.05999999999997,236.17
4,74.97,95.59,111.32,136.64,157.38,179.07999999999998
5,70.8,89.25,105.91,127.44,142.78,161.84
6,82.11,103.2,122.21,148.84,169.57999999999998,192.76
7,70.8,85.41,98.28,114.83999999999999,131.04,146.25
8,99.11999999999999,125.19,148.59,184.07999999999998,215.39,246.61999999999998
9,103.53,134.31,158.6,193.98,222.64,257.42
10,94.3,120.83999999999999,143.64,181.7,219.48,259.42
11,106.14,132.09,157.07999999999998,192.78,223.72,256.06
12,90.39999999999999,116.38999999999999,138.98999999999998,174.01999999999998,206.33999999999997,243.79999999999998
13,72.53999999999999,87.75,102.66,120.36,136.85,156.09
14,99.96,129.71,157.2,198.44,231.6,273.46
15,89.53999999999999,111.6,132.98,160.93,182.4,201.23999999999998
16,95.44999999999999,120.83999999999999,144.78,182.85,218.79,261.8
17,75.24,92.8,104.64999999999999,123.05,139.2,155.44
18,90.0,114.67999999999999,135.3,163.59,184.22,205.2
19,70.8,83.94999999999999,94.91999999999999,112.85999999999999,127.67999999999999,142.5
20,80.39999999999999,100.42999999999999,118.34,143.91,166.16,188.48
21,102.0,131.89,156.16,193.10999999999999,227.5,265.43
22,87.84,108.58,125.84,147.5,165.88,186.29999999999998
23,97.2,122.39999999999999,143.99,175.45,200.4,225.38
24,81.6,102.48,119.56,142.74,163.48,185.73
25,75.39999999999999,89.69999999999999,101.46,118.55999999999999,129.95,143.36
26,78.39,96.39,109.47999999999999,128.51999999999998,142.78,156.78
27,93.6,120.78,141.52,174.84,202.5,231.25
28,70.67999999999999,86.63999999999999,99.75999999999999,121.19999999999999,140.12,158.75
29,77.72,93.14999999999999,105.8,122.03999999999999,134.31,146.06
30,74.75,87.77999999999999,99.75999999999999,112.52,124.02,134.54999999999998
31,105.27,134.47,159.29999999999998,191.39999999999998,214.32,237.44000000000003
32,73.2,90.0,103.2,121.19999999999999,136.79999999999998,156.16
33,75.89999999999999,98.6,118.16999999999999,143.91,165.2,186.82999999999998
34,101.47999999999999,130.98,157.07999999999998,188.36999999999998,217.61999999999998,251.33999999999997
35,76.55999999999999,92.8,106.94999999999999,125.39999999999999,142.5,161.0
36,102.33999999999999,130.9,154.7,188.79999999999998,216.45,252.51999999999998
37,96.27999999999999,118.55999999999999,140.29999999999998,170.2,196.64999999999998,223.1
38,88.8,112.8,133.1,159.45999999999998,183.26,206.5
39,99.75999999999999,128.76,151.79999999999998,189.74999999999997,221.95,261.0
40,72.59,88.5,100.61999999999999,117.3,132.25,149.76
41,77.05,93.96,106.72,127.44,142.78,156.78
42,78.0,95.59,109.8,128.26,140.42,155.76
43,99.44999999999999,129.87,155.60999999999999,197.06,233.23999999999998,278.3
44,75.24,93.14999999999999,107.88,129.87,148.67999999999998,168.98
45,98.28,126.35999999999999,151.04,187.61999999999998,217.61999999999998,249.39999999999998
46,76.7,94.39999999999999,109.47999999999999,130.9,151.2,171.6
47,102.48,131.76,154.88,188.4,216.57999999999998,246.61999999999998
48,99.11999999999999,130.79999999999998,158.51,200.07999999999998,233.53,271.2
49,100.3,126.14,147.56,185.13,220.82,261.99
50,96.75999999999999,126.25999999999999,152.32,191.59,224.91,261.96
51,97.94,125.08,149.85999999999999,184.44,215.04999999999998,246.33999999999997
52,93.17,115.64,136.89,169.35999999999999,200.07,237.17999999999998
53,97.94,122.85,143.91,172.83999999999997,194.35,221.55999999999997
54,98.39999999999999,122.72,145.07999999999998,179.01,210.04,238.95999999999998
55,81.74,102.09,117.12,140.29999999999998,158.51,177.6
56,96.27999999999999,127.44,152.22,192.78,229.2,269.83
57,101.78999999999999,128.79999999999998,152.95,189.74999999999997,221.95,251.98999999999998
58,98.77,126.14,149.94,184.45,213.01,243.07999999999998
59,109.74,139.23,164.97,200.67999999999998,233.16,269.12
60,72.53999999999999,95.58,112.32,136.89,154.44,175.82
61,74.24,93.96,112.32,135.72,153.26999999999998,173.45999999999998
62,109.97999999999999,143.98999999999998,171.35999999999999,216.59,253.76,295.2
63,97.11,124.8,146.41,175.2,198.73,226.1
64,100.3,126.44,150.79999999999998,187.2,218.29999999999998,254.66
65,76.23,92.39999999999999,105.91,122.85,138.04,154.28
66,88.56,111.02,126.14,147.2,167.57999999999998,187.04000000000002
67,74.58,89.60000000000001,101.92000000000002,119.84000000000002,133.20000000000002,147.63000000000002
68,78.64999999999999,94.8,109.47999999999999,128.62,145.07999999999998,162.63
69,80.39999999999999,98.39999999999999,114.0,135.51999999999998,154.94,173.24
70,100.61999999999999,128.7,153.26999999999998,186.76,216.92,251.54999999999998
71,86.39999999999999,109.8,129.15,159.96,184.22,217.71
72,73.78,94.39999999999999,112.1,138.0,158.51,179.34
73,80.72999999999999,102.66,120.36,145.14,164.97,187.2
74,84.96,109.2,129.32,157.44,181.04,205.84
75,74.33999999999999,92.03999999999999,104.13,121.89999999999999,135.66,152.76
76,102.48,129.6,152.32,188.79999999999998,216.92,253.89
77,96.27999999999999,124.11999999999999,149.76,189.98,221.13,256.35999999999996
78,87.12,106.8,123.75999999999999,152.22,175.16,204.7
79,97.94,122.96,146.16,178.25,207.64,243.07999999999998
80,100.3,125.19,147.42,183.26,210.63,239.19
81,91.96,119.03999999999999,140.12,172.35999999999999,203.75,238.75
82,87.12,109.74,130.98,162.0,188.19,217.98
83,97.94,122.72,146.4,180.56,206.91,235.95
84,77.72,95.11999999999999,109.03999999999999,131.07999999999998,149.76,169.92
85,101.47999999999999,129.79999999999998,153.4,187.2,216.45,245.92
86,91.19999999999999,114.24000000000001,136.64000000000001,172.89,206.99999999999997,246.86999999999998
87,74.1,90.05999999999999,102.6,121.89999999999999,136.88,153.26999999999998
88,98.03999999999999,127.67999999999999,154.1,191.51999999999998,225.71999999999997,261.03
89,76.16,92.82,107.1,123.05,135.52,153.44000000000003
90,91.30000000000001,119.84000000000002,142.24,176.27999999999997,203.39999999999998,230.72000000000003
91,77.35,96.39,110.67,132.16,148.59,169.92
92,95.11999999999999,121.89999999999999,147.32,181.26,211.30999999999997,245.28000000000003
93,90.39999999999999,116.38999999999999,140.22,177.1,209.95999999999998,248.04
94,91.52999999999999,117.51999999999998,141.25,176.27999999999997,207.92,249.39999999999998
95,96.8,122.57,146.37,180.54,209.42999999999998,243.35999999999999
96,73.08,89.32,104.13,124.94999999999999,141.6,159.82
97,72.32,88.13999999999999,100.57,117.51999999999998,131.04000000000002,143.19000000000003
98,94.00999999999999,118.0,139.23999999999998,171.35999999999999,197.54,228.0
99,96.39,121.53999999999999,143.95999999999998,177.0,205.32,238.0
100,75.02,91.2,103.83999999999999,120.63999999999999,133.38,145.60000000000002
101,88.06,108.55999999999999,126.25999999999999,153.4,175.82,200.6
102,104.72,133.28,158.4,197.64,230.01,266.6
103,93.6,118.8,139.23999999999998,169.35999999999999,198.35999999999999,229.99999999999997
104,88.33,111.92999999999999,129.32,153.67,175.2,197.54
105,93.6,119.47999999999999,142.67999999999998,178.64,209.95999999999998,243.79999999999998
106,85.39999999999999,107.01,126.25,151.25,172.5,195.0
107,88.91999999999999,111.14999999999999,127.6,150.48,166.88000000000002,192.04999999999998
108,77.05,95.44999999999999,112.69999999999999,136.79999999999998,157.07,181.92999999999998
109,75.52,94.00999999999999,109.47999999999999,133.2,151.2,170.4
110,76.7,94.00999999999999,106.19999999999999,121.89999999999999,134.47,147.84
111,97.11,126.35999999999999,152.32,190.39999999999998,220.66,256.06
112,104.13,134.54999999999998,161.45999999999998,200.07,233.16,269.09999999999997
113,98.77,126.25999999999999,148.67999999999998,184.45,212.39999999999998,251.68
114,71.92,89.32,105.55999999999999,126.53999999999999,146.89999999999998,169.49999999999997
115,85.41,104.39999999999999,121.67999999999999,142.6,159.6,178.98
116,78.88,96.75999999999999,109.74,127.52999999999999,142.73999999999998,159.29999999999998
117,132.84,176.08,215.46,268.8,312.0,355.01
118,74.42,90.75,104.06,122.21,135.6,149.94
