,NAME,TYPE,STATE,2-yr,5-yr,10-yr,25-yr,50-yr,100-yr
210,Northampton,County,PA,1.27,1.3,1.33,1.39,1.45,1.53
211,Northampton,County,VA,1.3,1.3,1.32,1.34,1.4,1.46
212,Northumberland,County,PA,1.31,1.33,1.38,1.43,1.51,1.58
213,Northumberland,County,VA,1.3,1.32,1.33,1.36,1.4,1.44
214,Norton,City,VA,1.28,1.32,1.35,1.4,1.43,1.5
215,Nottoway,County,VA,1.28,1.3,1.32,1.36,1.43,1.52
216,Ocean,County,NJ,1.27,1.28,1.28,1.28,1.28,1.34
217,Ohio,County,WV,1.31,1.36,1.39,1.44,1.52,1.57
218,Oneida,County,NY,1.28,1.29,1.29,1.35,1.42,1.45
219,Onondaga,County,NY,1.28,1.34,1.36,1.37,1.38,1.4
220,Ontario,County,NY,1.27,1.26,1.27,1.33,1.4,1.49
221,Orange,County,NY,1.28,1.35,1.39,1.49,1.61,1.74
222,Orange,County,VA,1.32,1.35,1.37,1.43,1.47,1.51
223,Otsego,County,NY,1.31,1.3,1.32,1.37,1.41,1.45
224,Page,County,VA,1.33,1.36,1.4,1.5,1.56,1.65
225,Patrick,County,VA,1.33,1.33,1.38,1.44,1.53,1.63
226,Pendleton,County,WV,1.35,1.37,1.37,1.38,1.44,1.52
227,Perry,County,PA,1.35,1.36,1.36,1.37,1.39,1.43
228,Petersburg,City,VA,1.27,1.33,1.33,1.38,1.43,1.47
229,Philadelphia,County,PA,1.28,1.28,1.32,1.35,1.37,1.4
230,Pike,County,PA,1.29,1.32,1.39,1.46,1.54,1.68
231,Pittsylvania,County,VA,1.33,1.36,1.38,1.41,1.44,1.52
232,Pleasants,County,WV,1.27,1.29,1.3,1.33,1.34,1.35
233,Pocahontas,County,WV,1.27,1.28,1.3,1.34,1.42,1.46
234,Poquoson,City,VA,1.28,1.27,1.29,1.35,1.43,1.48
235,Portsmouth,City,VA,1.31,1.36,1.39,1.46,1.54,1.6
236,Potter,County,PA,1.3,1.32,1.33,1.34,1.35,1.36
237,Powhatan,County,VA,1.3,1.37,1.4,1.47,1.55,1.65
238,Preston,County,WV,1.26,1.28,1.31,1.35,1.41,1.49
239,Prince Edward,County,VA,1.31,1.34,1.32,1.34,1.37,1.45
240,Prince George,County,VA,1.27,1.28,1.29,1.31,1.32,1.37
241,Prince George's,County,MD,1.27,1.29,1.32,1.37,1.4,1.47
242,Prince William,County,VA,1.26,1.28,1.3,1.34,1.37,1.42
243,Pulaski,County,VA,1.33,1.31,1.31,1.32,1.36,1.38
244,Putnam,County,WV,1.27,1.28,1.3,1.35,1.38,1.44
245,Queen Anne's,County,MD,1.28,1.3,1.32,1.34,1.37,1.42
246,Radford,City,VA,1.37,1.38,1.37,1.37,1.36,1.4
247,Raleigh,County,WV,1.28,1.3,1.29,1.31,1.35,1.41
248,Randolph,County,WV,1.23,1.26,1.29,1.35,1.42,1.52
249,Rappahannock,County,VA,1.34,1.35,1.36,1.37,1.38,1.48
250,Richmond,County,NY,1.28,1.3,1.31,1.32,1.34,1.35
251,Richmond,County,VA,1.33,1.39,1.4,1.39,1.39,1.4
252,Richmond,City,VA,1.27,1.32,1.37,1.46,1.53,1.59
253,Ritchie,County,WV,1.3,1.31,1.31,1.34,1.35,1.38
254,Roane,County,WV,1.26,1.28,1.28,1.31,1.35,1.4
255,Roanoke,County,VA,1.37,1.41,1.43,1.46,1.47,1.48
256,Roanoke,City,VA,1.34,1.44,1.47,1.51,1.59,1.7
257,Rockbridge,County,VA,1.34,1.41,1.41,1.42,1.41,1.42
258,Rockingham,County,VA,1.31,1.34,1.34,1.39,1.42,1.47
259,Russell,County,VA,1.28,1.27,1.29,1.3,1.32,1.35
260,Salem,County,NJ,1.32,1.37,1.39,1.41,1.42,1.46
261,Salem,City,VA,1.39,1.45,1.47,1.54,1.58,1.6
262,Schoharie,County,NY,1.32,1.36,1.37,1.41,1.46,1.5
263,Schuyler,County,NY,1.33,1.34,1.36,1.41,1.44,1.48
264,Schuylkill,County,PA,1.31,1.33,1.34,1.4,1.45,1.49
265,Scott,County,VA,1.3,1.32,1.33,1.36,1.4,1.44
266,Shenandoah,County,VA,1.32,1.34,1.36,1.4,1.42,1.48
267,Smyth,County,VA,1.29,1.28,1.28,1.31,1.33,1.39
268,Snyder,County,PA,1.29,1.29,1.32,1.4,1.46,1.53
269,Somerset,County,MD,1.3,1.33,1.37,1.42,1.45,1.44
270,Somerset,County,PA,1.27,1.27,1.3,1.34,1.39,1.43
271,Southampton,County,VA,1.3,1.34,1.33,1.39,1.43,1.48
272,Spotsylvania,County,VA,1.29,1.3,1.33,1.39,1.42,1.45
273,St. Mary's,County,MD,1.28,1.3,1.32,1.34,1.38,1.43
274,Stafford,County,VA,1.3,1.34,1.38,1.41,1.45,1.56
275,Staunton,City,VA,1.35,1.41,1.42,1.42,1.42,1.46
276,Steuben,County,NY,1.3,1.3,1.31,1.34,1.38,1.41
277,Suffolk,City,VA,1.32,1.35,1.36,1.41,1.47,1.52
278,Sullivan,County,NY,1.3,1.33,1.35,1.42,1.52,1.65
279,Sullivan,County,PA,1.26,1.28,1.32,1.39,1.47,1.58
280,Summers,County,WV,1.29,1.31,1.3,1.31,1.37,1.44
281,Surry,County,VA,1.27,1.27,1.29,1.32,1.36,1.41
282,Susquehanna,County,PA,1.24,1.25,1.27,1.35,1.43,1.55
283,Sussex,County,DE,1.26,1.28,1.32,1.35,1.4,1.44
284,Sussex,County,NJ,1.3,1.36,1.42,1.52,1.6,1.74
285,Sussex,County,VA,1.27,1.28,1.3,1.36,1.41,1.49
286,Talbot,County,MD,1.25,1.26,1.28,1.34,1.4,1.5
287,Taylor,County,WV,1.28,1.29,1.29,1.33,1.37,1.43
288,Tazewell,County,VA,1.24,1.24,1.24,1.27,1.28,1.32
289,Tioga,County,NY,1.22,1.23,1.24,1.33,1.43,1.53
290,Tioga,County,PA,1.28,1.29,1.31,1.35,1.41,1.5
291,Tompkins,County,NY,1.26,1.29,1.29,1.33,1.39,1.48
292,Tucker,County,WV,1.26,1.29,1.31,1.35,1.38,1.44
293,Tyler,County,WV,1.25,1.26,1.24,1.26,1.3,1.35
294,Ulster,County,NY,1.34,1.38,1.4,1.45,1.49,1.56
295,Union,County,PA,1.27,1.28,1.33,1.35,1.41,1.49
296,Upshur,County,WV,1.22,1.25,1.29,1.34,1.41,1.5
297,Venango,County,PA,1.33,1.35,1.35,1.38,1.41,1.43
298,Virginia Beach,City,VA,1.33,1.4,1.44,1.47,1.52,1.59
299,Warren,County,NJ,1.3,1.36,1.41,1.48,1.54,1.58
300,Warren,County,PA,1.35,1.33,1.36,1.37,1.38,1.4
301,Warren,County,VA,1.39,1.38,1.37,1.38,1.38,1.46
302,Washington,County,MD,1.29,1.33,1.36,1.41,1.47,1.49
303,Washington,County,PA,1.3,1.32,1.34,1.41,1.45,1.5
304,Washington,County,VA,1.28,1.29,1.31,1.3,1.34,1.39
305,Wayne,County,PA,1.27,1.29,1.33,1.41,1.49,1.54
306,Wayne,County,WV,1.27,1.29,1.33,1.4,1.47,1.53
307,Waynesboro,City,VA,1.37,1.41,1.43,1.44,1.46,1.49
308,Webster,County,WV,1.23,1.24,1.24,1.26,1.28,1.32
309,Westchester,County,NY,1.28,1.29,1.32,1.39,1.46,1.47
310,Westmoreland,County,PA,1.27,1.28,1.32,1.39,1.43,1.5
311,Westmoreland,County,VA,1.31,1.35,1.36,1.36,1.38,1.45
312,Wetzel,County,WV,1.26,1.3,1.3,1.33,1.37,1.42
