,NAME,TYPE,STATE,2-yr,5-yr,10-yr,25-yr,50-yr,100-yr
0,Accomack,County,VA,1.0,0.96,0.92,0.89,0.88,0.87
1,Adams,County,PA,1.0,0.97,0.93,0.86,0.81,0.78
2,Albemarle,County,VA,1.0,0.96,0.91,0.89,0.9,0.89
3,Alexandria,City,VA,0.96,0.91,0.9,0.89,0.87,0.84
4,Allegany,County,MD,1.0,0.98,0.96,0.97,0.98,0.97
5,Allegany,County,NY,1.01,1.0,0.99,0.95,0.92,0.89
6,Alleghany,County,VA,0.99,1.0,0.99,0.98,0.97,0.94
7,Allegheny,County,PA,1.01,0.99,0.99,0.96,0.93,0.9
8,Amelia,County,VA,0.97,0.94,0.93,0.92,0.88,0.83
9,Amherst,County,VA,0.99,0.98,0.98,0.96,0.94,0.92
10,Anne Arundel,County,MD,1.0,0.98,0.96,0.91,0.88,0.86
11,Appomattox,County,VA,0.99,0.97,0.96,0.94,0.9,0.86
12,Arlington,County,VA,0.97,0.95,0.94,0.9,0.89,0.87
13,Armstrong,County,PA,1.02,1.02,1.01,0.98,0.94,0.89
14,Atlantic,County,NJ,1.0,0.99,0.98,0.94,0.9,0.85
15,Augusta,County,VA,0.99,0.96,0.94,0.91,0.88,0.85
16,Baltimore,County,MD,1.0,0.98,0.96,0.92,0.91,0.89
17,Baltimore,County,MD,0.99,0.95,0.94,0.9,0.86,0.83
18,Barbour,County,WV,0.99,1.0,0.99,0.97,0.94,0.93
19,Bath,County,VA,1.04,1.02,1.01,0.98,0.96,0.95
20,Beaver,County,PA,1.01,1.0,0.98,0.95,0.9,0.86
21,Bedford,County,PA,1.01,0.98,0.97,0.97,0.96,0.96
22,Bedford,County,VA,1.0,0.99,0.99,0.98,0.98,0.97
23,Berkeley,County,WV,0.98,0.97,0.96,0.93,0.92,0.89
24,Berks,County,PA,1.03,1.02,1.0,0.98,0.96,0.93
25,Blair,County,PA,1.02,1.02,1.03,1.02,1.0,0.97
26,Bland,County,VA,1.01,1.01,1.0,0.98,0.97,0.95
27,Boone,County,WV,1.02,1.01,1.01,1.0,0.97,0.96
28,Botetourt,County,VA,1.0,0.99,0.99,0.98,0.98,0.98
29,Bradford,County,PA,1.02,1.0,1.0,0.97,0.94,0.91
30,Braxton,County,WV,1.03,1.02,0.99,0.96,0.92,0.88
