,0,1,2,3,4,5
0,-0.12000000000000009,-0.12000000000000008,-0.12999999999999984,-0.12000000000000019,-0.1200000000000001,-0.1200000000000001
1,-0.12000000000000006,-0.12999999999999995,-0.12000000000000006,-0.12000000000000002,-0.11000000000000014,-0.08
2,-0.12000000000000016,-0.12000000000000005,-0.12999999999999987,-0.1399999999999999,-0.13999999999999987,-0.14999999999999994
3,-0.0800000000000001,-0.08000000000000013,-0.08000000000000006,-0.10000000000000012,-0.1200000000000001,-0.14999999999999997
4,-0.11000000000000011,-0.12000000000000005,-0.12999999999999992,-0.13999999999999993,-0.12999999999999987,-0.12999999999999987
5,-0.12000000000000022,-0.1100000000000002,-0.10000000000000006,-0.08000000000000014,-0.06999999999999999,-0.07000000000000008
6,-0.11000000000000006,-0.12000000000000009,-0.12999999999999995,-0.13999999999999987,-0.13999999999999985,-0.13999999999999985
7,-0.11000000000000014,-0.09000000000000011,-0.09000000000000002,-0.08000000000000002,-0.07000000000000003,-0.06
8,-0.09000000000000002,-0.0900000000000001,-0.09000000000000005,-0.10000000000000014,-0.10000000000000013,-0.11000000000000004
9,-0.12000000000000013,-0.13999999999999993,-0.15,-0.14999999999999997,-0.14999999999999997,-0.14999999999999988
10,-0.08000000000000003,-0.08000000000000004,-0.07000000000000017,-0.09,-0.10000000000000012,-0.11000000000000008
11,-0.1399999999999999,-0.13999999999999993,-0.13999999999999993,-0.12999999999999984,-0.12999999999999984,-0.1299999999999999
12,-0.0700000000000001,-0.07000000000000008,-0.08000000000000003,-0.0900000000000001,-0.11000000000000014,-0.12999999999999987
13,-0.08999999999999997,-0.1,-0.10000000000000003,-0.12000000000000009,-0.1299999999999999,-0.1399999999999998
14,-0.12000000000000015,-0.12000000000000012,-0.1100000000000002,-0.11000000000000013,-0.12000000000000013,-0.11000000000000006
15,-0.12000000000000013,-0.12000000000000012,-0.12000000000000012,-0.13999999999999982,-0.13999999999999982,-0.1499999999999999
16,-0.09000000000000016,-0.09000000000000005,-0.10000000000000013,-0.10000000000000003,-0.11000000000000011,-0.11000000000000008
17,-0.07000000000000006,-0.0700000000000001,-0.07000000000000005,-0.07000000000000009,-0.07000000000000005,-0.05000000000000013
18,-0.12000000000000019,-0.13999999999999996,-0.13999999999999993,-0.13999999999999982,-0.1399999999999999,-0.14999999999999986
19,-0.11000000000000014,-0.11000000000000001,-0.09000000000000002,-0.09000000000000011,-0.08000000000000007,-0.06
20,-0.12000000000000009,-0.12000000000000009,-0.13999999999999985,-0.13999999999999996,-0.14999999999999997,-0.16999999999999985
21,-0.12999999999999998,-0.14999999999999994,-0.1499999999999999,-0.14999999999999988,-0.1499999999999999,-0.15999999999999986
22,-0.12999999999999978,-0.12999999999999992,-0.12999999999999984,-0.11,-0.10000000000000007,-0.08000000000000004
23,-0.12999999999999984,-0.12999999999999992,-0.12000000000000001,-0.12999999999999995,-0.13999999999999999,-0.15999999999999986
24,-0.12999999999999984,-0.12999999999999984,-0.13999999999999985,-0.13999999999999996,-0.14999999999999997,-0.14999999999999986
25,-0.1,-0.10000000000000014,-0.11000000000000007,-0.12999999999999984,-0.13999999999999996,-0.1399999999999999
26,-0.10000000000000005,-0.11000000000000014,-0.11000000000000006,-0.11000000000000008,-0.11000000000000001,-0.12000000000000009
27,-0.12000000000000018,-0.1599999999999999,-0.16999999999999998,-0.14999999999999983,-0.14999999999999988,-0.14999999999999986
28,-0.08000000000000013,-0.09000000000000004,-0.08000000000000011,-0.10000000000000009,-0.12999999999999987,-0.17
29,-0.07999999999999999,-0.07000000000000002,-0.08000000000000015,-0.07000000000000002,-0.06000000000000016,-0.040000000000000105
30,-0.1,-0.11000000000000017,-0.1100000000000001,-0.12000000000000015,-0.12999999999999987,-0.1299999999999999
31,-0.12000000000000013,-0.12000000000000015,-0.12000000000000012,-0.09000000000000014,-0.07000000000000013,-0.05000000000000011
32,-0.12000000000000012,-0.12000000000000019,-0.12000000000000009,-0.12000000000000005,-0.12000000000000006,-0.1200000000000001
