,index,NAME,TYPE,STATE,stateIDs,lat,lon,GEOID
286,291,Tompkins,County,NY,36,42.44945765,-76.47229843,36109
287,292,Tucker,County,WV,54,39.11240885,-79.57053576,54093
288,293,Tyler,County,WV,54,39.46811972,-80.88772677,54095
289,294,Ulster,County,NY,36,41.89027881,-74.26252104,36111
290,295,Union,County,PA,42,40.96189247,-77.05995358,42119
291,296,Upshur,County,WV,54,38.89250152,-80.23686804,54097
292,297,Venango,County,PA,42,41.40416503,-79.75819013,42121
293,298,Virginia Beach,City,VA,51,36.73285734,-76.04566934,51810
294,299,Warren,County,NJ,34,40.85951349,-74.9955636,34041
295,300,Warren,County,PA,42,41.81368759,-79.27407714,42123
296,301,Warren,County,VA,51,38.90848718,-78.20280854,51187
297,302,Washington,County,MD,24,39.60680917,-77.81714716,24043
298,303,Washington,County,PA,42,40.19184046,-80.24577048,42125
299,304,Washington,County,VA,51,36.72341535,-81.95666391,51191
300,305,Wayne,County,PA,42,41.64938475,-75.29956506,42127
301,306,Wayne,County,WV,54,38.14734428,-82.42469251,54099
302,307,Waynesboro,City,VA,51,38.0660854,-78.90222699,51820
303,308,Webster,County,WV,54,38.49370949,-80.4202023,54101
304,309,Westchester,County,NY,36,41.16277991,-73.75741775,36119
305,310,Westmoreland,County,PA,42,40.31243409,-79.46987424,42129
306,311,Westmoreland,County,VA,51,38.11021497,-76.80215866,51193
307,312,Wetzel,County,WV,54,39.60657685,-80.64015052,54103
308,313,Wicomico,County,MD,24,38.37287843,-75.62738513,24045
309,314,Williamsburg,City,VA,51,37.27995545,-76.70633362,51830
310,315,Winchester,City,VA,51,39.17144646,-78.17333437,51840
311,316,Wirt,County,WV,54,39.02775007,-81.37473928,54105
312,317,Wise,County,VA,51,36.97453408,-82.62413781,51195
313,318,Wood,County,WV,54,39.20968499,-81.51626767,54107
314,319,Worcester,County,MD,24,38.21290662,-75.33190011,24047
315,320,Wyoming,County,PA,42,41.5195267,-76.01081402,42131
316,321,Wyoming,County,WV,54,37.61228503,-81.54469486,54109
317,322,Wythe,County,VA,51,36.91582035,-81.07834059,51197
318,323,Yates,County,NY,36,42.63525838,-77.10336885,36123
319,324,York,County,PA,42,39.92283716,-76.73159403,42133
320,325,York,County,VA,51,37.24375622,-76.54413045,51199
