ID,Longterm SID,POR Start,POR End,Lat,Lon,rp_b_2-yr,rp_b_5-yr,rp_b_10-yr,rp_b_25-yr,rp_b_50-yr,rp_b_100-yr,FID,key_ix
USC00368873,USC00368873 6,"1921","2020",41.4792,-79.4432,1.96491570185203,2.59914055734725,3.123387526804,3.93438032354294,4.66562692433076,5.5228445519743,"3220",id58_185
USW00004787,USW00004787 6,"1962","2020",41.17833,-78.89889,0,0,0,0,0,0,"3218",id58_186
USC00367477,USC00367477 6,"1893","2020",41.4196,-78.74921,1.95954704183832,2.6017124189875,3.14063391072975,3.98608403694754,4.75866115580001,5.67476761497102,"3218",id58_186
USC00368469,USC00368469 6,"1969","2020",41.40389,-78.01833,0,0,0,0,0,0,"3224",id58_187
USC00361480,USC00361480 6,"1950","2019",41.0489,-77.9411,2.14136712336337,2.73128292828635,3.14558096320385,3.69772035891891,4.12907606106068,4.57648755365859,"3222",id58_188
USC00367409,USC00367409 6,"1895","2020",41.3299,-77.7381,0,0,0,0,0,0,"3222",id58_188
USC00365109,USC00365109 6,"1948","2020",41.131,-77.4336,0,0,0,0,0,0,"3212",id58_189
USW00014778,USW00014778 6,"1945","2020",41.24295,-76.9218,2.32024852153792,3.1713910579188,3.85103556399753,4.86947643511598,5.76022173427759,6.77753554444103,"3210",id58_190
USC00360455,USC00360455 6,"1958","2020",41.1184,-75.7277,0,0,0,0,0,0,"3214",id58_192
USW00014777,USW00014777 6,"1948","2020",41.3336,-75.7269,2.09009234960226,2.88170277154532,3.54365874961626,4.57868007390434,5.52149524813304,6.63643287728403,"3214",id58_192
USC00368596,USC00368596 6,"1910","2020",41.01477,-75.20706,2.80063123030755,3.79837794317048,4.48011704368602,5.36635759764067,6.04224170049877,6.72906423797596,"3268",id58_193
USC00363758,USC00363758 6,"1897","2017",41.4764,-75.1652,2.18657129215712,2.86774988795439,3.40923806728128,4.21730866232205,4.92126908096165,5.72254001201842,"3268",id58_193
USC00286460,USC00286460 6,"1941","2020",41.0356,-74.50124,2.8349206956549,3.7018107070218,4.41127686168307,5.49876450103777,6.47074815179928,7.60163902565801,"3266",id58_194
USC00288644,USC00288644 6,"1893","2020",41.2214,-74.66261,2.55020996708212,3.40495181658934,4.04782248663217,4.95974448952264,5.7164034820008,6.54255050275622,"3266",id58_194
USC00306774,USC00306774 6,"1893","2020",41.3891,-74.6905,2.61246032378443,3.61813177285632,4.26390984195626,5.05768424906881,5.63097144478486,6.18723074257042,"3266",id58_194
USC00281582,USC00281582 6,"1893","2020",41.02996,-74.42477,3.10655313039976,4.07050198338675,4.73706650487119,5.61300495249336,6.28807481458227,6.98021234820625,"3272",id58_195
USC00289187,USC00289187 6,"1945","2020",41.0444,-74.2933,2.8115706972915,3.69384320729628,4.38900112150557,5.41798877645733,6.30743817375892,7.31310757720563,"3272",id58_195
USC00281327,USC00281327 6,"1948","2020",41.1093,-74.48276,3.02348353136563,3.95229546480488,4.63135778397794,5.57003546211137,6.32973070711831,7.14175675695516,"3272",id58_195
USC00309670,USC00309670 6,"1965","2017",41.2664,-73.7975,0,0,0,0,0,0,"3270",id58_196
USC00307742,USC00307742 6,"1950","2020",41.3325,-73.837,0,0,0,0,0,0,"3270",id58_196
USC00309292,USC00309292 6,"1890","2019",41.3906,-73.9608,2.85642974479726,3.73674615111638,4.37117976637381,5.23678140051414,5.9285531807725,6.66007297911774,"3270",id58_196
USW00094745,USW00094745 6,"1946","2020",41.06236,-73.70463,3.23405357223297,4.09136806481442,4.62185704780703,5.25260296823262,5.69360393407618,6.10990907497621,"3270",id58_196
USC00365050,USC00365050 6,"1920","2020",41.6458,-80.425,0,0,0,0,0,0,"2855",id59_183
USC00368888,USC00368888 6,"1954","2020",41.6309,-79.693,0,0,0,0,0,0,"2852",id59_184
