,NAME,TYPE,STATE,2-yr,5-yr,10-yr,25-yr,50-yr,100-yr
167,Louisa,County,VA,1.1,1.11,1.12,1.13,1.13,1.13
168,Lunenburg,County,VA,1.1,1.11,1.12,1.12,1.13,1.12
169,Luzerne,County,PA,1.1,1.12,1.14,1.15,1.17,1.19
170,Lycoming,County,PA,1.1,1.1,1.1,1.11,1.12,1.13
171,Lynchburg,City,VA,1.1,1.12,1.12,1.14,1.15,1.17
172,Madison,County,NY,1.09,1.08,1.08,1.07,1.08,1.08
173,Madison,County,VA,1.11,1.11,1.12,1.12,1.11,1.11
174,Manassas,City,VA,1.07,1.07,1.07,1.08,1.09,1.11
175,Manassas Park,City,VA,1.07,1.07,1.06,1.07,1.08,1.11
176,Marion,County,WV,1.08,1.07,1.07,1.06,1.06,1.05
177,Marshall,County,WV,1.1,1.11,1.12,1.12,1.11,1.12
178,Martinsville,City,VA,1.12,1.15,1.15,1.18,1.19,1.21
179,Mason,County,WV,1.12,1.12,1.13,1.14,1.15,1.16
180,Mathews,County,VA,1.09,1.12,1.12,1.12,1.13,1.13
181,McDowell,County,WV,1.11,1.11,1.11,1.1,1.09,1.09
182,McKean,County,PA,1.11,1.12,1.11,1.11,1.11,1.12
183,Mecklenburg,County,VA,1.09,1.1,1.1,1.1,1.11,1.11
184,Mercer,County,NJ,1.09,1.07,1.07,1.06,1.06,1.05
185,Mercer,County,PA,1.12,1.12,1.12,1.14,1.14,1.14
186,Mercer,County,WV,1.1,1.11,1.12,1.13,1.14,1.13
187,Middlesex,County,VA,1.08,1.09,1.09,1.08,1.06,1.06
188,Mifflin,County,PA,1.14,1.15,1.15,1.16,1.15,1.13
189,Mineral,County,WV,1.1,1.11,1.11,1.12,1.13,1.14
190,Mingo,County,WV,1.1,1.1,1.11,1.12,1.13,1.14
191,Monmouth,County,NJ,1.1,1.09,1.09,1.09,1.09,1.08
192,Monongalia,County,WV,1.08,1.07,1.07,1.08,1.09,1.1
193,Monroe,County,PA,1.13,1.15,1.15,1.14,1.15,1.16
194,Monroe,County,WV,1.09,1.1,1.12,1.12,1.12,1.13
195,Montgomery,County,MD,1.09,1.09,1.08,1.09,1.1,1.11
196,Montgomery,County,NY,1.12,1.11,1.11,1.12,1.12,1.13
197,Montgomery,County,PA,1.1,1.09,1.09,1.08,1.08,1.09
198,Montgomery,County,VA,1.14,1.16,1.16,1.16,1.15,1.15
199,Montour,County,PA,1.13,1.14,1.15,1.16,1.16,1.18
200,Morgan,County,WV,1.14,1.14,1.13,1.13,1.13,1.13
201,Morris,County,NJ,1.11,1.11,1.11,1.13,1.15,1.16
202,Nassau,County,NY,1.12,1.11,1.11,1.1,1.1,1.13
203,Nelson,County,VA,1.11,1.13,1.14,1.15,1.16,1.16
204,New Castle,County,DE,1.11,1.11,1.12,1.12,1.12,1.13
