,NAME,TYPE,STATE,2-yr,5-yr,10-yr,25-yr,50-yr,100-yr
86,Dinwiddie,County,VA,1.24,1.27,1.34,1.83,2.41,2.0
87,District of Columbia,County,DC,1.35,1.4,1.54,1.68,1.73,2.28
88,Doddridge,County,WV,1.42,1.42,1.4,1.55,1.73,3.03
89,Dorchester,County,MD,1.24,1.42,1.53,1.72,1.91,2.51
90,Elk,County,PA,1.21,1.22,1.23,1.28,1.36,2.27
91,Emporia,City,VA,1.24,1.25,1.28,1.39,1.52,3.25
92,Erie,County,PA,1.26,1.35,1.42,1.66,1.91,2.46
93,Essex,County,VA,1.33,1.4,1.45,1.49,1.46,3.3
94,Fairfax,County,VA,1.32,1.3,1.38,1.58,1.81,2.16
95,Fairfax,City,VA,1.33,1.3,1.39,1.59,1.82,2.51
96,Falls Church,City,VA,1.33,1.3,1.39,1.59,1.82,2.12
97,Fauquier,County,VA,1.22,1.22,1.26,1.37,1.54,2.08
98,Fayette,County,PA,1.35,1.34,1.4,1.47,1.54,2.34
99,Fayette,County,WV,1.25,1.3,1.38,1.57,1.78,1.8
100,Floyd,County,VA,1.23,1.31,1.44,1.64,1.92,2.58
101,Fluvanna,County,VA,1.25,1.3,1.38,1.53,1.75,2.99
102,Forest,County,PA,1.28,1.3,1.34,1.77,2.33,2.37
103,Franklin,County,PA,1.3,1.42,1.59,1.87,2.18,2.85
104,Franklin,County,VA,1.24,1.29,1.36,1.67,2.17,3.09
105,Franklin,City,VA,1.22,1.27,1.34,1.52,1.84,3.05
106,Frederick,County,MD,1.27,1.36,1.43,1.58,1.79,2.89
107,Frederick,County,VA,1.33,1.34,1.35,1.45,1.55,2.13
108,Fredericksburg,City,VA,1.42,1.54,1.6,1.6,1.96,2.78
109,Fulton,County,PA,1.27,1.37,1.48,1.77,2.11,3.75
110,Galax,City,VA,1.24,1.32,1.47,1.77,2.12,2.66
111,Garrett,County,MD,1.4,1.42,1.41,1.39,1.46,2.61
112,Giles,County,VA,1.23,1.34,1.39,1.64,2.01,2.73
113,Gilmer,County,WV,1.29,1.4,1.51,1.64,2.07,2.12
114,Gloucester,County,NJ,1.21,1.3,1.4,1.5,1.5,2.4
115,Gloucester,County,VA,1.2,1.23,1.28,1.37,1.46,2.3
116,Goochland,County,VA,1.25,1.36,1.5,1.74,1.92,2.78
