,NAME,TYPE,STATE,2-yr,5-yr,10-yr,25-yr,50-yr,100-yr
0,Accomack,County,VA,1.01,1.0,0.99,0.99,0.97,0.95
1,Adams,County,PA,1.04,1.02,0.99,0.94,0.89,0.84
2,Albemarle,County,VA,1.05,1.01,0.97,0.94,0.91,0.9
3,Alexandria,City,VA,1.0,0.97,0.94,0.9,0.88,0.85
4,Allegany,County,MD,1.07,1.05,1.03,1.0,0.96,0.94
5,Allegany,County,NY,1.03,1.0,0.99,0.95,0.91,0.86
6,Alleghany,County,VA,1.03,1.03,1.02,0.99,0.97,0.91
7,Allegheny,County,PA,1.02,0.99,0.99,0.97,0.94,0.92
8,Amelia,County,VA,1.0,0.99,0.98,0.93,0.9,0.86
9,Amherst,County,VA,1.04,1.03,1.01,0.97,0.95,0.92
10,Anne Arundel,County,MD,1.03,1.0,0.97,0.93,0.9,0.86
11,Appomattox,County,VA,1.04,1.01,0.99,0.97,0.95,0.9
12,Arlington,County,VA,0.99,0.99,0.95,0.93,0.91,0.87
13,Armstrong,County,PA,1.01,1.01,0.99,0.96,0.94,0.92
14,Atlantic,County,NJ,1.04,1.03,1.02,0.98,0.96,0.93
15,Augusta,County,VA,1.05,1.03,1.01,0.95,0.92,0.88
16,Baltimore,County,MD,1.03,1.01,0.98,0.95,0.92,0.89
17,Baltimore,County,MD,1.02,1.01,0.98,0.92,0.88,0.83
18,Barbour,County,WV,1.02,1.02,1.01,0.98,0.95,0.93
19,Bath,County,VA,1.06,1.04,1.03,1.0,0.97,0.94
20,Beaver,County,PA,1.04,1.01,0.99,0.95,0.91,0.86
21,Bedford,County,PA,1.05,1.05,1.05,1.05,1.02,0.98
22,Bedford,County,VA,1.03,1.03,1.03,1.03,1.03,1.01
23,Berkeley,County,WV,1.05,1.04,1.02,0.99,0.96,0.93
24,Berks,County,PA,1.03,1.01,0.99,0.97,0.94,0.9
25,Blair,County,PA,1.04,1.04,1.05,1.03,0.99,0.94
26,Bland,County,VA,1.03,1.01,1.01,0.98,0.95,0.9
27,Boone,County,WV,1.04,1.03,1.01,0.99,0.95,0.93
28,Botetourt,County,VA,1.04,1.04,1.03,1.02,1.0,0.96
29,Bradford,County,PA,1.03,0.99,0.97,0.93,0.91,0.87
30,Braxton,County,WV,1.03,1.02,1.01,0.97,0.95,0.91
31,Bristol,City,VA,1.04,1.03,1.02,0.99,0.96,0.92
32,Bronx,County,NY,1.01,1.0,0.98,0.95,0.91,0.86
33,Brooke,County,WV,1.03,0.99,0.97,0.94,0.92,0.86
34,Broome,County,NY,1.03,1.01,1.01,1.0,0.99,0.98
35,Brunswick,County,VA,1.01,0.97,0.95,0.91,0.9,0.89
36,Buchanan,County,VA,1.04,1.01,1.0,0.97,0.96,0.93
37,Buckingham,County,VA,1.02,1.01,0.99,0.97,0.94,0.9
38,Bucks,County,PA,1.02,1.01,1.01,0.98,0.96,0.93
39,Buena Vista,City,VA,1.04,1.02,0.98,0.96,0.91,0.88
40,Burlington,County,NJ,1.02,1.0,1.0,0.99,0.95,0.93
41,Butler,County,PA,1.01,1.0,0.99,0.96,0.95,0.92
42,Cabell,County,WV,1.01,1.01,1.01,0.98,0.95,0.91
43,Calhoun,County,WV,1.04,1.03,1.02,0.97,0.93,0.86
44,Calvert,County,MD,1.01,1.0,0.98,0.95,0.93,0.9
45,Cambria,County,PA,1.01,1.01,1.0,0.99,0.97,0.94
46,Camden,County,NJ,1.04,1.03,1.02,0.99,0.97,0.94
47,Cameron,County,PA,1.01,1.0,0.99,0.97,0.94,0.89
48,Campbell,County,VA,1.03,1.02,1.01,1.0,0.98,0.97
49,Cape May,County,NJ,1.01,1.02,1.01,0.99,0.98,0.95
50,Carbon,County,PA,1.01,0.98,0.97,0.96,0.95,0.95
51,Caroline,County,MD,1.03,1.01,0.99,0.95,0.92,0.88
52,Caroline,County,VA,1.02,0.99,0.98,0.95,0.93,0.9
53,Carroll,County,MD,1.03,1.02,1.0,0.95,0.93,0.91
54,Carroll,County,VA,1.03,1.02,1.03,1.0,0.99,0.98
55,Cecil,County,MD,1.04,1.02,1.01,0.97,0.93,0.88
56,Centre,County,PA,1.03,1.01,1.01,0.98,0.97,0.93
57,Charles,County,MD,1.02,0.99,0.97,0.93,0.89,0.85
58,Charles City,County,VA,1.0,0.98,0.98,0.97,0.96,0.94
59,Charlotte,County,VA,1.03,1.03,1.02,1.01,0.99,0.95
60,Charlottesville,City,VA,1.02,1.0,0.97,0.94,0.9,0.87
61,Chemung,County,NY,1.02,1.01,1.0,0.98,0.96,0.9
62,Chenango,County,NY,1.03,1.0,0.99,0.96,0.94,0.91
63,Chesapeake,City,VA,0.98,0.97,0.97,0.92,0.89,0.87
64,Chester,County,PA,1.02,1.0,0.99,0.97,0.94,0.89
65,Chesterfield,County,VA,1.0,0.97,0.97,0.95,0.94,0.9
66,Clarion,County,PA,1.05,1.04,1.03,1.0,0.99,0.97
67,Clarke,County,VA,1.04,1.01,1.0,0.96,0.92,0.87
68,Clay,County,WV,1.01,1.0,1.0,0.97,0.94,0.9
69,Clearfield,County,PA,1.04,1.03,1.02,1.0,0.99,0.97
70,Clinton,County,PA,1.04,1.0,0.98,0.96,0.92,0.89
71,Colonial Heights,City,VA,0.96,0.95,0.93,0.93,0.93,0.93
72,Columbia,County,PA,1.02,0.99,0.98,0.97,0.97,0.95
73,Cortland,County,NY,1.04,1.03,1.02,0.98,0.95,0.91
74,Covington,City,VA,1.0,1.01,0.99,0.96,0.94,0.9
75,Craig,County,VA,1.04,1.04,1.03,1.01,1.0,0.98
76,Crawford,County,PA,1.01,1.0,1.0,0.99,0.99,0.98
77,Culpeper,County,VA,1.03,1.05,1.03,1.01,0.98,0.96
78,Cumberland,County,NJ,1.03,1.02,1.0,0.97,0.94,0.91
79,Cumberland,County,PA,1.06,1.05,1.03,1.0,0.97,0.95
80,Cumberland,County,VA,1.02,0.99,0.97,0.95,0.91,0.87
81,Danville,City,VA,1.02,1.03,1.04,1.01,0.98,0.93
82,Dauphin,County,PA,1.05,1.03,1.0,0.98,0.95,0.93
83,Delaware,County,NY,1.04,1.03,1.02,1.02,1.02,1.0
84,Delaware,County,PA,1.04,1.03,1.01,0.98,0.96,0.92
85,Dickenson,County,VA,1.04,1.01,1.0,0.99,0.97,0.95
86,Dinwiddie,County,VA,1.01,1.0,0.98,0.96,0.95,0.94
87,District of Columbia,County,DC,0.98,0.97,0.95,0.92,0.9,0.87
88,Doddridge,County,WV,1.02,1.01,0.99,0.97,0.95,0.93
89,Dorchester,County,MD,1.0,0.96,0.95,0.93,0.9,0.88
90,Elk,County,PA,0.99,0.98,0.98,0.96,0.93,0.9
91,Emporia,City,VA,0.99,0.98,0.96,0.92,0.88,0.83
92,Erie,County,PA,1.01,1.02,1.01,1.0,0.99,0.96
93,Essex,County,VA,0.98,0.96,0.95,0.91,0.9,0.88
94,Fairfax,County,VA,1.0,0.99,0.98,0.97,0.96,0.94
95,Fairfax,City,VA,0.98,0.99,0.97,0.96,0.94,0.91
96,Falls Church,City,VA,1.0,0.98,0.96,0.94,0.91,0.88
97,Fauquier,County,VA,1.04,1.02,1.01,0.97,0.93,0.88
98,Fayette,County,PA,1.01,1.0,0.99,0.96,0.92,0.88
99,Fayette,County,WV,1.03,1.02,1.0,0.97,0.95,0.92
100,Floyd,County,VA,1.02,1.03,1.01,0.98,0.96,0.92
101,Fluvanna,County,VA,1.03,1.01,0.99,0.95,0.9,0.84
102,Forest,County,PA,1.04,1.0,0.99,0.97,0.94,0.92
103,Franklin,County,PA,1.05,1.04,1.02,1.0,0.98,0.95
104,Franklin,County,VA,1.0,1.02,1.01,1.01,1.01,0.99
105,Franklin,City,VA,1.01,0.99,0.96,0.91,0.88,0.86
106,Frederick,County,MD,1.04,1.01,1.0,0.96,0.93,0.89
107,Frederick,County,VA,1.05,1.03,1.02,0.99,0.95,0.9
108,Fredericksburg,City,VA,1.0,0.97,0.96,0.94,0.89,0.87
109,Fulton,County,PA,1.04,1.04,1.05,1.02,0.99,0.95
110,Galax,City,VA,1.01,0.97,0.95,0.92,0.89,0.86
111,Garrett,County,MD,1.03,1.02,1.01,0.98,0.94,0.91
112,Giles,County,VA,1.04,1.04,1.03,1.0,0.98,0.97
113,Gilmer,County,WV,1.03,1.02,1.0,0.96,0.92,0.87
114,Gloucester,County,NJ,1.04,1.04,1.04,1.01,0.96,0.91
115,Gloucester,County,VA,1.03,1.0,0.98,0.96,0.94,0.92
116,Goochland,County,VA,1.01,0.98,0.95,0.91,0.86,0.81
117,Grant,County,WV,1.01,1.01,1.01,1.01,0.98,0.96
118,Grayson,County,VA,1.04,1.02,1.01,0.99,0.99,0.96
119,Greenbrier,County,WV,1.05,1.02,1.05,1.04,0.99,0.94
120,Greene,County,NY,1.03,1.04,1.02,1.0,0.97,0.94
121,Greene,County,PA,1.05,1.04,1.02,0.98,0.96,0.93
122,Greene,County,VA,1.03,0.99,0.97,0.95,0.94,0.91
123,Greensville,County,VA,1.0,0.97,0.95,0.93,0.92,0.89
124,Halifax,County,VA,1.0,1.03,1.03,1.0,0.97,0.96
125,Hampshire,County,WV,1.04,1.05,1.03,1.02,1.01,1.01
126,Hampton,City,VA,0.98,0.98,0.96,0.96,0.95,0.91
127,Hancock,County,WV,1.05,1.02,1.0,0.96,0.9,0.87
128,Hanover,County,VA,1.02,0.99,0.98,0.96,0.94,0.91
129,Hardy,County,WV,1.04,1.03,1.03,1.01,0.99,0.96
130,Harford,County,MD,1.03,1.0,0.98,0.94,0.9,0.86
131,Harrison,County,WV,1.03,1.02,1.0,0.97,0.94,0.9
132,Harrisonburg,City,VA,1.02,1.01,0.99,0.96,0.92,0.87
133,Henrico,County,VA,1.01,1.0,0.98,0.96,0.94,0.93
134,Henry,County,VA,1.02,1.01,1.01,1.0,0.99,0.97
135,Herkimer,County,NY,0.99,0.97,0.96,0.92,0.91,0.92
136,Highland,County,VA,1.04,1.04,1.02,0.99,0.96,0.92
137,Hopewell,City,VA,0.94,0.93,0.94,0.95,0.94,0.93
